typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,233,EST,Estonia,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,125073,FALSE,8,kg,125073,FALSE,125073,FALSE,0,FALSE,62851.334,,62851.334,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,246,FIN,Finland,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12273039.9,FALSE,8,kg,12273039.9,FALSE,12273039.9,FALSE,0,FALSE,3612287.822,,3612287.822,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,251,FRA,France,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2748558625.94,FALSE,8,kg,2748558625.94,FALSE,2748558625.94,FALSE,0,FALSE,653371794.984,,653371794.984,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,276,DEU,Germany,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,797922626.16,FALSE,8,kg,797922626.16,FALSE,797922626.16,FALSE,0,FALSE,225435080.623,,225435080.623,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,288,GHA,Ghana,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,966,FALSE,8,kg,966,FALSE,966,FALSE,0,FALSE,1179.217,,1179.217,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,300,GRC,Greece,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,209049.4,FALSE,8,kg,209049.4,FALSE,209049.4,FALSE,0,FALSE,472150.686,,472150.686,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,352,ISL,Iceland,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.3,FALSE,8,kg,0.3,FALSE,0.3,FALSE,0,FALSE,8.968,,8.968,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,364,IRN,Iran,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.8,FALSE,8,kg,0.8,FALSE,0.8,FALSE,0,FALSE,22.345,,22.345,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,380,ITA,Italy,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5907051.44,FALSE,8,kg,5907051.44,FALSE,5907051.44,FALSE,0,FALSE,2466674.062,,2466674.062,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,392,JPN,Japan,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.54,FALSE,8,kg,0.54,FALSE,0.54,FALSE,0,FALSE,0.328,,0.328,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,398,KAZ,Kazakhstan,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1975483.74,FALSE,8,kg,1975483.74,FALSE,1975483.74,FALSE,0,FALSE,622826.332,,622826.332,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,440,LTU,Lithuania,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9842996.88,FALSE,8,kg,9842996.88,FALSE,9842996.88,FALSE,0,FALSE,2334957.177,,2334957.177,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,442,LUX,Luxembourg,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3296267.2,FALSE,8,kg,3296267.2,FALSE,3296267.2,FALSE,0,FALSE,1083548.011,,1083548.011,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,470,MLT,Malta,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24322.2,FALSE,8,kg,24322.2,FALSE,24322.2,FALSE,0,FALSE,22646.024,,22646.024,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,498,MDA,Rep. of Moldova,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3,FALSE,8,kg,3,FALSE,3,FALSE,0,FALSE,36.405,,36.405,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,528,NLD,Netherlands,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,215061015.01,FALSE,8,kg,215061015.01,FALSE,215061015.01,FALSE,0,FALSE,57985248.696,,57985248.696,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,579,NOR,Norway,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,55.071,,55.071,0,FALSE,TRUE,
