typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","170","COL","Colombia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","114.44","false","8","kg","114.44","false","114.44","false","0","false","411.51","114.44","411.51","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","76395.7","false","8","kg","76395.7","false","76395.7","false","0","false","202823.51","195235.38","202823.51","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","490","S19","Other Asia, nes","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","270","false","8","kg","270","false","270","false","0","false","900.43","803.1","900.43","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","586","PAK","Pakistan","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","89000","false","8","kg","89000","false","89000","false","0","false","116038.4","105730.9","116038.4","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","600","PRY","Paraguay","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2577710","false","8","kg","2577710","false","2577710","false","0","false","1431000.92","1295595.16","1431000.92","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","699","IND","India","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","211420","false","8","kg","211420","false","211420","false","0","false","286611.19","258273.22","286611.19","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","704","VNM","Viet Nam","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30000","false","8","kg","30000","false","30000","false","0","false","34641.35","26910","34641.35","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","70104.37","false","8","kg","70104.37","false","70104.37","false","0","false","128154.97","118730.3","128154.97","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","764","THA","Thailand","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","66925","false","8","kg","66925","false","66925","false","0","false","92965.94","81030.38","92965.94","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","858","URY","Uruguay","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1264900","false","8","kg","1264900","false","1264900","false","0","false","1056896.2","985743.5","1056896.2","0","false","true",
